label,category,utterance1,utterance2
0,watch_tv_1,"{'user': 'Alien', 'text': 'How are you doing today?', 'intent': 'Extend_greetings'}","{'user': 'Human', 'text': 'I am good, thank you for asking', 'intent': 'Extend_greetings'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'I am good, thank you for asking', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'Do you know TV? What is this?', 'intent': 'Ask_about_object'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'Do you know TV? What is this?', 'intent': 'Ask_about_object'}","{'user': 'Human', 'text': 'The TV is a big screen that can play videos. ', 'intent': 'Inform_get_started'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'The TV is a big screen that can play videos. ', 'intent': 'Inform_get_started'}","{'user': 'Alien', 'text': 'May I watch the TV?', 'intent': 'Ask_guidence'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'May I watch the TV?', 'intent': 'Ask_guidence'}","{'user': 'Human', 'text': 'Sure, and can you help me to watch TV? ', 'intent': 'Ask_want_help'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'Sure, and can you help me to watch TV? ', 'intent': 'Ask_want_help'}","{'user': 'Alien', 'text': 'Hot to get start?', 'intent': 'Ask_next_step'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'Hot to get start?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'You need to find the TV first, do you know where is it?', 'intent': 'Ask_know_location'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'You need to find the TV first, do you know where is it?', 'intent': 'Ask_know_location'}","{'user': 'Alien', 'text': ""I don't know"", 'intent': 'Inform_confused'}"
0,watch_tv_1,"{'user': 'Alien', 'text': ""I don't know"", 'intent': 'Inform_confused'}","{'user': 'Human', 'text': 'The TV is in the living room', 'intent': 'iInform_object'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'The TV is in the living room', 'intent': 'iInform_object'}","{'user': 'Alien', 'text': ""Got it. Let's go"", 'intent': 'Ask_get_started'}"
1,watch_tv_1,"{'user': 'Alien', 'text': ""Got it. Let's go"", 'intent': 'Ask_get_started'}","{'user': 'Human', 'text': 'Now you have found the TV, can you open it', 'intent': 'Inform_next_step'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'Now you have found the TV, can you open it', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'How to open the TV?', 'intent': 'Ask_about_action'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'How to open the TV?', 'intent': 'Ask_about_action'}","{'user': 'Human', 'text': 'Hit the open button on the corner of the screen', 'intent': 'Inform_action'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'Hit the open button on the corner of the screen', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Got it.', 'intent': 'Inform_understanding'}"
1,watch_tv_1,"{'user': 'Alien', 'text': 'Got it.', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Are you lost? ', 'intent': 'Ask_okay'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'Are you lost? ', 'intent': 'Ask_okay'}","{'user': 'Alien', 'text': 'What happened?', 'intent': 'Display_confusion'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'What happened?', 'intent': 'Display_confusion'}","{'user': 'Human', 'text': 'No worries, you are opening the TV, and your next step is to hit the open button', 'intent': 'Inform_next_step'}"
0,watch_tv_1,"{'user': 'Human', 'text': 'No worries, you are opening the TV, and your next step is to hit the open button', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'I see', 'intent': 'Inform_understanding'}"
1,watch_tv_1,"{'user': 'Alien', 'text': 'I see', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'I opened the TV', 'intent': 'Inform_condition'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'I opened the TV', 'intent': 'Inform_condition'}","{'user': 'Alien', 'text': 'Is this correct?', 'intent': 'Inform_confused'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'Is this correct?', 'intent': 'Inform_confused'}","{'user': 'Human', 'text': 'Great, now you can sit and watch', 'intent': 'Inform_next_step'}"
0,watch_tv_1,"{'user': 'Alien', 'text': 'Is this correct?', 'intent': 'Inform_confused'}","{'user': 'Human', 'text': 'Great, now you can sit and watch', 'intent': 'Inform_next_step'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'hi, good evening', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'Oh hi! ', 'intent': 'Extend_greetings'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'Oh hi! ', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'Oh is it evening? I did not notice.', 'intent': 'Inform_confused'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'Oh is it evening? I did not notice.', 'intent': 'Inform_confused'}","{'user': 'Human', 'text': ""It doesn't matter. You are in the kitchen, just finish the task"", 'intent': 'Inform_other'}"
0,watch_tv_2,"{'user': 'Human', 'text': ""It doesn't matter. You are in the kitchen, just finish the task"", 'intent': 'Inform_other'}","{'user': 'Human', 'text': 'Do you know the task?', 'intent': 'Ask_know_action'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Do you know the task?', 'intent': 'Ask_know_action'}","{'user': 'Alien', 'text': ""Ummm I actually don't remember what I want to do. What can I do here?"", 'intent': 'Ask_about_action'}"
0,watch_tv_2,"{'user': 'Alien', 'text': ""Ummm I actually don't remember what I want to do. What can I do here?"", 'intent': 'Ask_about_action'}","{'user': 'Human', 'text': 'No problem, happens with everyone. Its a lazy day. Its a game day, lets go and watch soccer match', 'intent': 'Ask_know_action'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'No problem, happens with everyone. Its a lazy day. Its a game day, lets go and watch soccer match', 'intent': 'Ask_know_action'}","{'user': 'Alien', 'text': 'That sounds interesting. Can you tell me where can I watch it and how?', 'intent': 'Ask_about_location'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'That sounds interesting. Can you tell me where can I watch it and how?', 'intent': 'Ask_about_location'}","{'user': 'Human', 'text': 'There is a tv in the living room, we can watch the soccer match on it', 'intent': 'Inform_next_step'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'There is a tv in the living room, we can watch the soccer match on it', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': ""That sounds very interesting. Let's go the living room then! You can show me how to use the TV."", 'intent': 'Inform_get_started'}"
0,watch_tv_2,"{'user': 'Alien', 'text': ""That sounds very interesting. Let's go the living room then! You can show me how to use the TV."", 'intent': 'Inform_get_started'}","{'user': 'Human', 'text': ""Let's go! Using the TV is easy. I will show you how to use it"", 'intent': 'Casual_response'}"
0,watch_tv_2,"{'user': 'Human', 'text': ""Let's go! Using the TV is easy. I will show you how to use it"", 'intent': 'Casual_response'}","{'user': 'Alien', 'text': ""Let's go! I am excited!"", 'intent': 'Other'}"
1,watch_tv_2,"{'user': 'Alien', 'text': ""Let's go! I am excited!"", 'intent': 'Other'}","{'user': 'Alien', 'text': 'I have reached living room', 'intent': 'Inform_understanding'}"
1,watch_tv_2,"{'user': 'Alien', 'text': ""Let's go! I am excited!"", 'intent': 'Other'}","{'user': 'Alien', 'text': 'I have reached living room', 'intent': 'Inform_understanding'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'hi', 'intent': 'Inform_get_started'}","{'user': 'Alien', 'text': 'Hello', 'intent': 'Extend_greetings'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'Hello', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'how are you?', 'intent': 'Casual_question'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'how are you?', 'intent': 'Casual_question'}","{'user': 'Human', 'text': 'fine thank you', 'intent': 'Casual_response'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'fine thank you', 'intent': 'Casual_response'}","{'user': 'Alien', 'text': 'are you ready to start?', 'intent': 'Ask_get_started'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'are you ready to start?', 'intent': 'Ask_get_started'}","{'user': 'Human', 'text': 'yes', 'intent': 'Inform_action'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'yes', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'what should I do?', 'intent': 'Ask_next_step'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'what should I do?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'You should watch tv', 'intent': 'Inform_action'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'You should watch tv', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'okay, where is the TV?', 'intent': 'Ask_about_location'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'okay, where is the TV?', 'intent': 'Ask_about_location'}","{'user': 'Human', 'text': 'in the living room', 'intent': 'Inform_location'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'in the living room', 'intent': 'Inform_location'}","{'user': 'Alien', 'text': 'okay I got it', 'intent': 'Inform_understanding'}"
1,watch_tv_3,"{'user': 'Alien', 'text': 'okay I got it', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'I am confused, where is the living room?', 'intent': 'Inform_confused'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'I am confused, where is the living room?', 'intent': 'Inform_confused'}","{'user': 'Human', 'text': 'You should get out of the kitchen and go to the next room which is the living room', 'intent': 'Inform_location'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'You should get out of the kitchen and go to the next room which is the living room', 'intent': 'Inform_location'}","{'user': 'Alien', 'text': ""Okay, thanks! Let's go together then"", 'intent': 'Inform_understanding'}"
0,watch_tv_3,"{'user': 'Alien', 'text': ""Okay, thanks! Let's go together then"", 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'we are going to the living room now', 'intent': 'Inform_action'}"
1,watch_tv_3,"{'user': 'Human', 'text': 'we are going to the living room now', 'intent': 'Inform_action'}","{'user': 'Human', 'text': 'Do you know the next step?', 'intent': 'Ask_know_next_step'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'Do you know the next step?', 'intent': 'Ask_know_next_step'}","{'user': 'Alien', 'text': 'No', 'intent': 'Inform_condition'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'No', 'intent': 'Inform_condition'}","{'user': 'Human', 'text': ""let's watch the TV"", 'intent': 'Inform_next_step'}"
0,watch_tv_3,"{'user': 'Human', 'text': ""let's watch the TV"", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'okay, so which object is the TV in this living room?', 'intent': 'Ask_about_object'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'okay, so which object is the TV in this living room?', 'intent': 'Ask_about_object'}","{'user': 'Human', 'text': 'it is the white object in front of the coach', 'intent': 'iInform_object'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'it is the white object in front of the coach', 'intent': 'iInform_object'}","{'user': 'Alien', 'text': 'thanks, I will walk towards it.', 'intent': 'Inform_understanding'}"
1,watch_tv_3,"{'user': 'Alien', 'text': 'thanks, I will walk towards it.', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Do you know about your next step', 'intent': 'Ask_know_next_step'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'Do you know about your next step', 'intent': 'Ask_know_next_step'}","{'user': 'Alien', 'text': 'No, I guess I should turn on the TV but I do not know how to do it.', 'intent': 'Inform_understanding'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'No, I guess I should turn on the TV but I do not know how to do it.', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'you should walk towards it and click on its power button\\', 'intent': 'Inform_action'}"
