label,category,utterance1,utterance2
1,bedroom_cabinet_0,"{'user': 'Alien', 'text': 'Alright!', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': ""What's this here?"", 'intent': 'Ask_about_object'}"
1,using_microwave_3,"{'user': 'Alien', 'text': 'Alright!', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'What do I do now?', 'intent': 'Ask_next_step'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'What should I do now?', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'sit and watch the tv', 'intent': 'Inform_action'}"
0,watch_tv_2,"{'user': 'Alien', 'text': 'That sounds interesting. Can you tell me where can I watch it and how?', 'intent': 'Ask_about_location'}","{'user': 'Human', 'text': 'There is a tv in the living room, we can watch the soccer match on it', 'intent': 'Inform_next_step'}"
0,watch_tv_2,"{'user': 'Human', 'text': ""It doesn't matter. You are in the kitchen, just finish the task"", 'intent': 'Inform_other'}","{'user': 'Human', 'text': 'Do you know the task?', 'intent': 'Ask_know_action'}"
0,watch_tv_3,"{'user': 'Alien', 'text': 'Turning on the TV', 'intent': 'Inform_observation'}","{'user': 'Alien', 'text': 'What should I watch?', 'intent': 'Casual_question'}"
1,watch_tv_1,"{'user': 'Alien', 'text': ""Ok, I'm going to the receiver to turn it off."", 'intent': 'Inform_condition'}","{'user': 'Alien', 'text': 'Alright, I turned it off.', 'intent': 'Inform_condition'}"
1,wash_glass_0,"{'user': 'Alien', 'text': 'Okay!', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'Is this a good place to put it?', 'intent': 'Ask_about_location'}"
1,using_microwave_3,"{'user': 'Human', 'text': ""Yup, that's it."", 'intent': 'Yes-no_positive'}","{'user': 'Alien', 'text': ""Okay, I'll set down the salmon here."", 'intent': 'Inform_get_started'}"
0,watch_tv_3,"{'user': 'Human', 'text': 'Do you need any more info?', 'intent': 'Ask_need_info'}","{'user': 'Alien', 'text': 'No I am good', 'intent': 'Inform_understanding'}"
0,watch_tv_2,"{'user': 'Human', 'text': ""Let's make some food together?"", 'intent': 'Casual_question'}","{'user': 'Alien', 'text': ""Ok, let's!"", 'intent': 'Casual_response'}"
0,watch_tv_1,"{'user': 'Alien', 'text': ""I don't know"", 'intent': 'Inform_confused'}","{'user': 'Human', 'text': 'The TV is in the living room', 'intent': 'iInform_object'}"
1,watch_tv_1,"{'user': 'Alien', 'text': 'I see', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'I opened the TV', 'intent': 'Inform_condition'}"
0,watch_tv_2,"{'user': 'Human', 'text': 'Hello!', 'intent': 'Extend_greetings'}","{'user': 'Alien', 'text': 'Hello!', 'intent': 'Extend_greetings'}"
